ref_date,curve,days,rate
2026-04-02,DOC,3975,0.0748
2026-04-02,DOC,4061,0.0755
2026-04-02,DOC,4155,0.0762
2026-04-02,DOC,4246,0.07690000000000001
2026-04-02,DOC,4295,0.07719999999999999
2026-04-02,DOC,4320,0.0775
2026-04-02,DOC,4337,0.0776
2026-04-02,DOC,4428,0.0783
2026-04-02,DOC,4519,0.0791
2026-04-02,DOC,4611,0.07980000000000001
2026-04-02,DOC,4659,0.0802
2026-04-02,DOC,4680,0.08039999999999999
2026-04-02,DOC,4702,0.0806
2026-04-02,DOC,4792,0.0812
2026-04-02,DOC,4883,0.0819
2026-04-02,DOC,4976,0.08259999999999999
2026-04-02,DOC,5023,0.083
2026-04-02,DOC,5040,0.0832
2026-04-02,DOC,5067,0.0833
2026-04-02,DOC,5157,0.084
2026-04-02,DOC,5249,0.08470000000000001
2026-04-02,DOC,5342,0.08539999999999999
2026-04-02,DOC,5389,0.0857
2026-04-02,DOC,5401,0.0858
2026-04-02,DOC,5433,0.0861
2026-04-02,DOC,5522,0.0867
2026-04-02,DOC,5580,0.0872
2026-04-02,DOC,5614,0.0875
2026-04-02,DOC,5709,0.0883
2026-04-02,DOC,5802,0.0889
2026-04-02,DOC,5887,0.08960000000000001
2026-04-02,DOC,5979,0.0904
2026-04-02,DOC,6073,0.09119999999999999
2026-04-02,DOC,6164,0.0919
2026-04-02,DOC,6252,0.09269999999999999
2026-04-02,DOC,6346,0.0935
2026-04-02,DOC,6437,0.0942
2026-04-02,DOC,6528,0.095
2026-04-02,DOC,6619,0.09570000000000001
2026-04-02,DOC,6710,0.0966
2026-04-02,DOC,6803,0.0974
2026-04-02,DOC,6894,0.0983
2026-04-02,DOC,6983,0.099
2026-04-02,DOC,7075,0.0999
2026-04-02,DOC,7200,0.10099999999999999
2026-04-02,DOC,7259,0.1015
2026-04-02,DOC,7440,0.1032
2026-04-02,DOC,7624,0.10490000000000001
2026-04-02,DOC,7805,0.1067
2026-04-02,DOC,7993,0.10859999999999999
2026-04-02,DOC,8173,0.1104
2026-04-02,DOC,8355,0.11230000000000001
2026-04-02,DOC,8537,0.1142
2026-04-02,DOC,8720,0.11630000000000001
2026-04-02,DOC,8901,0.1183
2026-04-02,DOC,9000,0.11939999999999999
2026-04-02,DOC,10637,0.13970000000000002
2026-04-02,DOC,10800,0.142
2026-04-02,DOC,12555,0.16899999999999998
